trial,run_seed,problem_size,algorithm,cost_km,runtime_s
10,5,50,LKH Algorithm,2283.91,0.36
10,6,50,Nearest Neighbor,6800.51,0.0
10,6,50,Ant Colony Optimization,2854.07,6.85
10,6,50,Lib Optimization,10571.37,0.69
10,6,50,LKH Algorithm,2283.91,0.36
10,7,50,Nearest Neighbor,6800.51,0.0
10,7,50,Ant Colony Optimization,3001.31,6.85
10,7,50,Lib Optimization,11488.16,0.64
10,7,50,LKH Algorithm,2283.91,0.36
10,8,50,Nearest Neighbor,6800.51,0.0
10,8,50,Ant Colony Optimization,2888.59,6.83
10,8,50,Lib Optimization,12246.06,0.92
10,8,50,LKH Algorithm,2283.91,0.36
10,9,50,Nearest Neighbor,6800.51,0.0
10,9,50,Ant Colony Optimization,2871.69,6.83
10,9,50,Lib Optimization,9400.6,0.84
10,9,50,LKH Algorithm,2283.91,0.36
11,0,50,Nearest Neighbor,7014.62,0.0
11,0,50,Ant Colony Optimization,3219.59,6.8
11,0,50,Lib Optimization,11452.31,0.82
11,0,50,LKH Algorithm,2510.26,0.37
11,1,50,Nearest Neighbor,7014.62,0.0
11,1,50,Ant Colony Optimization,3095.87,6.83
11,1,50,Lib Optimization,12510.49,0.6
11,1,50,LKH Algorithm,2510.26,0.37
11,2,50,Nearest Neighbor,7014.62,0.0
11,2,50,Ant Colony Optimization,3222.58,6.83
11,2,50,Lib Optimization,11635.3,0.96
11,2,50,LKH Algorithm,2510.26,0.37
11,3,50,Nearest Neighbor,7014.62,0.0
11,3,50,Ant Colony Optimization,3094.4,6.84
11,3,50,Lib Optimization,9444.79,0.73
11,3,50,LKH Algorithm,2510.26,0.38
11,4,50,Nearest Neighbor,7014.62,0.0
11,4,50,Ant Colony Optimization,3158.54,6.88
11,4,50,Lib Optimization,12431.46,0.83
11,4,50,LKH Algorithm,2510.26,0.37
11,5,50,Nearest Neighbor,7014.62,0.0
11,5,50,Ant Colony Optimization,3059.22,6.87
11,5,50,Lib Optimization,10934.56,0.88
11,5,50,LKH Algorithm,2510.26,0.38
11,6,50,Nearest Neighbor,7014.62,0.0
11,6,50,Ant Colony Optimization,3087.09,6.82
11,6,50,Lib Optimization,9137.67,0.96
11,6,50,LKH Algorithm,2510.26,0.37
11,7,50,Nearest Neighbor,7014.62,0.0
11,7,50,Ant Colony Optimization,3280.6,6.82
11,7,50,Lib Optimization,11269.66,0.69
11,7,50,LKH Algorithm,2510.26,0.37
11,8,50,Nearest Neighbor,7014.62,0.0
11,8,50,Ant Colony Optimization,3233.71,6.84
11,8,50,Lib Optimization,12840.35,0.71
11,8,50,LKH Algorithm,2510.26,0.37
11,9,50,Nearest Neighbor,7014.62,0.0
11,9,50,Ant Colony Optimization,3168.74,6.82
11,9,50,Lib Optimization,7884.13,0.73
11,9,50,LKH Algorithm,2510.26,0.38
12,0,50,Nearest Neighbor,5289.5,0.0
12,0,50,Ant Colony Optimization,2903.76,6.81
12,0,50,Lib Optimization,11917.13,0.72
12,0,50,LKH Algorithm,2278.93,0.36
12,1,50,Nearest Neighbor,5289.5,0.0
12,1,50,Ant Colony Optimization,2681.3,6.85
12,1,50,Lib Optimization,14011.3,0.7
12,1,50,LKH Algorithm,2278.93,0.36
12,2,50,Nearest Neighbor,5289.5,0.0
12,2,50,Ant Colony Optimization,2878.9,6.83
12,2,50,Lib Optimization,10416.27,0.38
12,2,50,LKH Algorithm,2278.93,0.36
12,3,50,Nearest Neighbor,5289.5,0.0
12,3,50,Ant Colony Optimization,2973.47,6.82
12,3,50,Lib Optimization,11866.13,0.92
12,3,50,LKH Algorithm,2278.93,0.36
12,4,50,Nearest Neighbor,5289.5,0.0
12,4,50,Ant Colony Optimization,3021.83,6.81
12,4,50,Lib Optimization,9834.68,0.63
12,4,50,LKH Algorithm,2278.93,0.36
12,5,50,Nearest Neighbor,5289.5,0.0
12,5,50,Ant Colony Optimization,2938.18,6.74
12,5,50,Lib Optimization,11261.15,0.79
12,5,50,LKH Algorithm,2278.93,0.36
12,6,50,Nearest Neighbor,5289.5,0.0
12,6,50,Ant Colony Optimization,2696.73,6.75
12,6,50,Lib Optimization,11716.61,0.79
12,6,50,LKH Algorithm,2278.93,0.36
12,7,50,Nearest Neighbor,5289.5,0.0
12,7,50,Ant Colony Optimization,3125.7,6.71
12,7,50,Lib Optimization,9887.37,0.77
12,7,50,LKH Algorithm,2278.93,0.36
12,8,50,Nearest Neighbor,5289.5,0.0
12,8,50,Ant Colony Optimization,2890.64,6.59
12,8,50,Lib Optimization,11269.12,0.74
12,8,50,LKH Algorithm,2278.93,0.36
12,9,50,Nearest Neighbor,5289.5,0.0
